,open,high,low,close,volume,idx_stamp,VWAP_D
2021-08-24 08:30:00,3306.26,3317.54,3299.0,3317.5,7853.54934,2021-08-24 08:30:00,3311.346666666667
2021-08-24 09:00:00,3317.5,3319.99,3285.19,3285.26,13671.20924,2021-08-24 09:00:00,3302.115982837335
2021-08-24 09:30:00,3285.25,3285.25,3242.01,3250.14,44049.04049,2021-08-24 09:30:00,3273.2424922782757
2021-08-24 10:00:00,3250.15,3250.84,3220.0,3250.71,29559.34091,2021-08-24 10:00:00,3263.0740710948885
2021-08-24 10:30:00,3250.7,3255.44,3235.35,3238.0,18393.34737,2021-08-24 10:30:00,3259.8103666877223
2021-08-24 11:00:00,3238.01,3244.88,3228.0,3241.71,11207.38472,2021-08-24 11:00:00,3257.868367715521
2021-08-24 11:30:00,3241.71,3241.71,3200.01,3211.54,22881.3768,2021-08-24 11:30:00,3251.6502620382944
2021-08-24 12:00:00,3211.54,3211.87,3147.31,3177.84,54288.21355,2021-08-24 12:00:00,3232.117704392646
2021-08-24 12:30:00,3177.84,3186.62,3157.26,3167.51,17018.58057,2021-08-24 12:30:00,3227.3248116028894
2021-08-24 13:00:00,3167.5,3201.0,3160.12,3198.01,15156.63879,2021-08-24 13:00:00,3224.6734114958854
2021-08-24 13:30:00,3198.0,3198.0,3177.87,3178.23,9468.40211,2021-08-24 13:30:00,3223.119361545025
2021-08-24 14:00:00,3178.23,3192.31,3168.0,3178.37,8590.8599,2021-08-24 14:00:00,3221.6352042351737
2021-08-24 14:30:00,3178.63,3189.82,3164.0,3188.67,7218.75251,2021-08-24 14:30:00,3220.4994607795547
2021-08-24 15:00:00,3188.66,3196.47,3171.5,3173.23,6252.62866,2021-08-24 15:00:00,3219.555491520348
2021-08-24 15:30:00,3173.23,3230.0,3170.0,3217.44,20244.55934,2021-08-24 15:30:00,3218.5822532606758
2021-08-24 16:00:00,3217.45,3217.97,3188.12,3215.28,12666.50805,2021-08-24 16:00:00,3218.096040240649
2021-08-24 16:30:00,3215.29,3220.94,3211.14,3217.0,5670.01576,2021-08-24 16:30:00,3218.0636809838743
2021-08-24 17:00:00,3216.99,3220.0,3196.5,3203.43,5447.81345,2021-08-24 17:00:00,3217.862749964374
2021-08-24 17:30:00,3203.43,3210.33,3176.88,3198.04,6929.74122,2021-08-24 17:30:00,3217.3641036041754
2021-08-24 18:00:00,3198.04,3225.0,3190.45,3215.49,6574.20947,2021-08-24 18:00:00,3217.2206582582376
2021-08-24 18:30:00,3215.5,3216.24,3197.98,3215.26,4268.48202,2021-08-24 18:30:00,3217.1242621277115
2021-08-24 19:00:00,3215.27,3218.49,3186.73,3187.88,8941.18858,2021-08-24 19:00:00,3216.607909997039
2021-08-24 19:30:00,3187.83,3196.83,3166.6,3170.62,10912.06935,2021-08-24 19:30:00,3215.3952578649587
2021-08-24 20:00:00,3170.63,3213.52,3168.79,3179.29,13493.82709,2021-08-24 20:00:00,3214.3406389532856
2021-08-24 20:30:00,3179.28,3205.22,3179.28,3195.43,5578.58244,2021-08-24 20:30:00,3214.0203836408646
2021-08-24 21:00:00,3195.43,3195.44,3168.32,3176.89,8608.3203,2021-08-24 21:00:00,3213.2442871444077
2021-08-24 21:30:00,3176.88,3204.79,3174.61,3203.45,8003.41293,2021-08-24 21:30:00,3212.8480131826236
2021-08-24 22:00:00,3203.46,3209.03,3191.0,3196.25,5475.38043,2021-08-24 22:00:00,3212.649422612
2021-08-24 22:30:00,3196.25,3216.0,3196.1,3205.52,6050.14382,2021-08-24 22:30:00,3212.5454959694216
2021-08-24 23:00:00,3205.53,3207.38,3191.33,3200.76,4224.83112,2021-08-24 23:00:00,3212.4106848258953
2021-08-24 23:30:00,3200.76,3203.42,3173.3,3175.0,7656.33477,2021-08-24 23:30:00,3211.8736262386665
2021-08-25 00:00:00,3175.0,3192.38,3163.3,3165.47,8193.67816,2021-08-25 00:00:00,3173.7166666666667
2021-08-25 00:30:00,3165.47,3180.44,3160.06,3175.24,6585.12384,2021-08-25 00:30:00,3172.9131392004488
2021-08-25 01:00:00,3175.24,3194.11,3174.15,3191.63,6727.32463,2021-08-25 01:00:00,3177.203906063803
2021-08-25 01:30:00,3191.63,3216.7,3191.62,3211.75,10459.32431,2021-08-25 01:30:00,3186.8519670185096
2021-08-25 02:00:00,3211.75,3222.26,3200.0,3205.69,8424.71277,2021-08-25 02:00:00,3191.537727723985
2021-08-25 02:30:00,3205.95,3218.83,3201.01,3201.01,5174.0542,2021-08-25 02:30:00,3193.287871493791
2021-08-25 03:00:00,3201.02,3212.02,3201.02,3201.96,6180.98921,2021-08-25 03:00:00,3194.686890725758
2021-08-25 03:30:00,3201.96,3203.89,3173.59,3183.6,10243.5066,2021-08-25 03:30:00,3193.42105455982
2021-08-25 04:00:00,3183.38,3187.92,3160.03,3164.27,12115.61505,2021-08-25 04:00:00,3189.712837637328
2021-08-25 04:30:00,3164.66,3169.52,3100.0,3103.51,41871.4283,2021-08-25 04:30:00,3166.1120905361972
2021-08-25 05:00:00,3103.85,3120.6,3080.0,3102.0,27182.70807,2021-08-25 05:00:00,3153.723390306599
2021-08-25 05:30:00,3102.0,3112.52,3091.45,3098.01,13490.90565,2021-08-25 05:30:00,3149.153482438567
2021-08-25 06:00:00,3097.93,3125.56,3093.92,3123.58,10997.29832,2021-08-25 06:00:00,3146.8706597417463
2021-08-25 06:30:00,3123.57,3131.03,3116.0,3124.46,9096.21746,2021-08-25 06:30:00,3145.6848533112866
2021-08-25 07:00:00,3124.47,3132.43,3113.3,3120.82,10507.74074,2021-08-25 07:00:00,3144.36604395683
2021-08-25 07:30:00,3120.82,3143.0,3120.81,3139.68,6931.73491,2021-08-25 07:30:00,3144.0137364335305
2021-08-25 08:00:00,3139.69,3147.95,3112.78,3142.6,11713.95722,2021-08-25 08:00:00,3143.469252234887
2021-08-25 08:30:00,3142.59,3156.0,3132.85,3149.18,8873.70976,2021-08-25 08:30:00,3143.574228978267
2021-08-25 09:00:00,3149.18,3159.72,3143.3,3156.48,8530.70813,2021-08-25 09:00:00,3143.9406867300563
2021-08-25 09:30:00,3156.44,3157.01,3121.79,3132.81,12674.8513,2021-08-25 09:30:00,3143.578806278969
2021-08-25 10:00:00,3132.82,3160.0,3102.67,3147.28,22032.14571,2021-08-25 10:00:00,3142.987132273827
2021-08-25 10:30:00,3147.27,3191.7,3143.08,3187.44,23385.57955,2021-08-25 10:30:00,3145.5705938981796
2021-08-25 11:00:00,3187.44,3196.87,3173.3,3187.29,13382.88626,2021-08-25 11:00:00,3147.3979233217187
2021-08-25 11:30:00,3187.3,3224.0,3175.45,3217.17,17623.47576,2021-08-25 11:30:00,3150.677905850481
2021-08-25 12:00:00,3217.17,3230.0,3204.11,3210.83,11823.58163,2021-08-25 12:00:00,3153.0228365162366
2021-08-25 12:30:00,3210.82,3219.7,3202.51,3215.05,7474.13369,2021-08-25 12:30:00,3154.3612321516025
2021-08-25 13:00:00,3215.04,3216.96,3201.0,3211.51,6348.75571,2021-08-25 13:00:00,3155.402851275954
2021-08-25 13:30:00,3211.5,3239.0,3211.5,3224.82,12466.40514,2021-08-25 13:30:00,3157.881952230565
2021-08-25 14:00:00,3224.83,3237.36,3219.63,3230.58,8345.25748,2021-08-25 14:00:00,3159.5402246804856
2021-08-25 14:30:00,3230.58,3239.27,3228.72,3231.8,5580.46697,2021-08-25 14:30:00,3160.6691109672943
2021-08-25 15:00:00,3231.8,3248.0,3220.2,3229.98,9002.71775,2021-08-25 15:00:00,3162.4062363650214
2021-08-25 15:30:00,3229.97,3235.19,3203.3,3214.5,7092.34884,2021-08-25 15:30:00,3163.436113548376
2021-08-25 16:00:00,3214.49,3239.01,3214.48,3225.68,5922.46829,2021-08-25 16:00:00,3164.400887230732
2021-08-25 16:30:00,3225.67,3228.4,3198.3,3207.57,6416.04221,2021-08-25 16:30:00,3165.1688170180964
2021-08-25 17:00:00,3207.58,3225.32,3206.82,3211.4,4353.06289,2021-08-25 17:00:00,3165.709568048228
2021-08-25 17:30:00,3211.27,3224.78,3202.62,3221.96,5908.7152,2021-08-25 17:30:00,3166.4533175984047
2021-08-25 18:00:00,3221.95,3239.93,3210.9,3211.0,7660.78013,2021-08-25 18:00:00,3167.4632691081893
2021-08-25 18:30:00,3211.0,3224.46,3210.68,3217.99,3897.69317,2021-08-25 18:30:00,3167.935538383263
2021-08-25 19:00:00,3218.0,3236.89,3207.43,3233.92,5210.73707,2021-08-25 19:00:00,3168.6570755370976
2021-08-25 19:30:00,3233.92,3234.55,3221.53,3226.87,4704.01946,2021-08-25 19:30:00,3169.3106303658383
2021-08-25 20:00:00,3226.88,3235.0,3208.14,3228.16,9357.00079,2021-08-25 20:00:00,3170.484795357253
2021-08-25 20:30:00,3228.16,3250.0,3222.22,3246.32,8792.08342,2021-08-25 20:30:00,3171.855538472217
